DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,220,14,0,0,0,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,141,3,0,0,1,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,373,19,3,0,0,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Road_S53,in,2131,60,99,44,9,7,0,481,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,171,33,2,0,0,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,142,3,0,0,0,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,332,8,0,0,0,0,0,Thu
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,LBS15_ButterHill_Road_S53,out,1892,15,89,41,16,6,0,327,Thu
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,2,217,9,0,0,0,0,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,3,125,7,0,0,0,0,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,3,411,24,6,0,0,1,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Road_S53,in,2331,66,123,47,6,11,0,484,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,188,26,1,0,0,1,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,140,11,0,0,0,0,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,1,340,9,3,0,0,0,0,Fri
2021-05-07T00:00:00Z,2021-05-07T01:00:00Z,LBS15_ButterHill_Road_S53,out,2078,18,116,49,19,7,0,346,Fri
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,100,2,0,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,110,0,0,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,4,155,5,1,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Road_S53,in,1532,39,44,48,0,2,0,212,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,76,11,1,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,125,2,0,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,165,2,0,0,0,0,0,Sat
2021-05-08T00:00:00Z,2021-05-08T01:00:00Z,LBS15_ButterHill_Road_S53,out,1454,16,45,30,6,6,0,146,Sat
2021-05-09T00:00:00Z,2021-05-09T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,147,6,0,0,0,0,0,Sun
2021-05-09T00:00:00Z,2021-05-09T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,1,126,7,0,0,0,0,0,Sun
2021-05-09T00:00:00Z,2021-05-09T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,1,211,12,2,0,0,0,1,Sun
2021-05-09T00:00:00Z,2021-05-09T01:00:00Z,LBS15_ButterHill_Road_S53,in,1146,64,137,37,1,1,0,157,Sun
