UTC Time,Local Time (Sensor),countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,
22/10/2021 00:00,22/10/2021 01:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 00:00,22/10/2021 01:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 00:15,22/10/2021 01:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 00:15,22/10/2021 01:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 00:30,22/10/2021 01:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 00:30,22/10/2021 01:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 00:45,22/10/2021 01:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 00:45,22/10/2021 01:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 01:00,22/10/2021 02:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 01:00,22/10/2021 02:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 01:15,22/10/2021 02:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 01:15,22/10/2021 02:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 01:30,22/10/2021 02:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 01:30,22/10/2021 02:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 01:45,22/10/2021 02:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 01:45,22/10/2021 02:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 02:00,22/10/2021 03:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 02:00,22/10/2021 03:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 02:15,22/10/2021 03:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 02:15,22/10/2021 03:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 02:30,22/10/2021 03:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 02:30,22/10/2021 03:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 02:45,22/10/2021 03:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 02:45,22/10/2021 03:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 03:00,22/10/2021 04:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 03:00,22/10/2021 04:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 03:15,22/10/2021 04:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,1,,
