UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,cars
26/07/2021 00:00,26/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,35,19,0,9,0,1,0,5,,in
26/07/2021 00:00,26/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,19,18,4,11,0,2,0,9,,
27/07/2021 00:00,27/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,64,14,3,4,0,0,0,4,,in
27/07/2021 00:00,27/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,30,16,1,3,0,0,0,5,,
28/07/2021 00:00,28/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,45,10,0,2,0,0,0,9,,in
28/07/2021 00:00,28/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,32,12,1,1,0,1,0,6,,
29/07/2021 00:00,29/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,84,18,3,4,0,0,1,11,,in
29/07/2021 00:00,29/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,30,22,2,3,0,0,0,5,,
30/07/2021 00:00,30/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,82,17,3,2,0,2,1,6,,in
30/07/2021 00:00,30/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,37,41,2,1,0,1,0,11,,
31/07/2021 00:00,31/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,39,20,1,2,0,0,1,3,,in
31/07/2021 00:00,31/07/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,36,29,1,2,0,0,0,4,,
01/08/2021 00:00,01/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,17,0,2,0,0,0,10,,out
01/08/2021 00:00,01/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,21,2,1,0,0,0,9,,
02/08/2021 00:00,02/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,30,14,1,2,0,2,0,7,,in
02/08/2021 00:00,02/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,37,0,1,0,2,0,5,,
03/08/2021 00:00,03/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,36,16,0,1,0,0,0,2,,in
03/08/2021 00:00,03/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,20,20,0,1,0,0,0,3,,
04/08/2021 00:00,04/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,24,15,0,11,0,0,0,6,,in
04/08/2021 00:00,04/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,21,1,7,0,1,0,7,,
05/08/2021 00:00,05/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,26,22,0,2,0,0,0,5,,in
05/08/2021 00:00,05/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,21,18,0,2,0,0,0,6,,
06/08/2021 00:00,06/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,59,26,5,1,0,1,0,4,,in
06/08/2021 00:00,06/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,31,3,0,0,1,0,5,,
07/08/2021 00:00,07/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,65,37,3,3,0,1,0,4,,in
07/08/2021 00:00,07/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,25,0,2,0,1,0,7,,
08/08/2021 00:00,08/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,28,30,2,4,0,0,0,7,,in
08/08/2021 00:00,08/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,34,0,2,0,1,0,7,,
09/08/2021 00:00,09/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,61,31,7,6,0,1,0,7,,in
09/08/2021 00:00,09/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,41,4,2,0,0,0,8,,
10/08/2021 00:00,10/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,46,32,1,1,1,0,0,6,,in
10/08/2021 00:00,10/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,23,46,1,1,0,0,1,9,,
11/08/2021 00:00,11/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,36,33,2,3,0,0,0,7,,in
11/08/2021 00:00,11/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,20,38,3,1,0,0,0,6,,
12/08/2021 00:00,12/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,77,18,4,4,0,1,0,7,,in
12/08/2021 00:00,12/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,27,46,1,4,0,0,0,10,,
13/08/2021 00:00,13/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,99,27,8,2,0,0,0,10,,in
13/08/2021 00:00,13/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,32,1,1,0,0,0,13,,
14/08/2021 00:00,14/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,78,28,4,4,0,0,0,3,,in
14/08/2021 00:00,14/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,42,35,2,3,0,0,0,8,,
15/08/2021 00:00,15/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,99,37,6,3,0,0,0,6,,in
15/08/2021 00:00,15/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,44,3,3,0,0,0,6,,
16/08/2021 00:00,16/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,31,23,0,2,1,7,0,5,,in
16/08/2021 00:00,16/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,24,1,1,0,2,1,5,,
17/08/2021 00:00,17/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,30,3,4,0,1,0,8,,in
17/08/2021 00:00,17/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,43,2,8,0,1,0,8,,
18/08/2021 00:00,18/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,33,14,1,1,0,0,0,5,,in
18/08/2021 00:00,18/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,21,21,1,1,0,0,0,4,,
19/08/2021 00:00,19/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,35,18,1,1,0,0,0,5,,in
19/08/2021 00:00,19/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,25,0,1,0,0,0,6,,
